term,draw_time,draw_result,front_numbers,back_numbers
21104,2021-09-08 21:15:00,"01,05,12,13,18,24,28|09","['01', '05', '12', '13', '18', '24', '28']",['09']
21103,2021-09-06 21:15:00,"04,05,06,10,24,25,26|20","['04', '05', '06', '10', '24', '25', '26']",['20']
21102,2021-09-03 21:15:00,"02,10,12,16,17,22,23|24","['02', '10', '12', '16', '17', '22', '23']",['24']
21101,2021-09-01 21:15:00,"01,02,07,09,12,13,23|21","['01', '02', '07', '09', '12', '13', '23']",['21']
21100,2021-08-30 21:15:00,"02,04,07,08,10,18,20|24","['02', '04', '07', '08', '10', '18', '20']",['24']
21099,2021-08-27 21:15:00,"04,06,09,15,22,23,27|08","['04', '06', '09', '15', '22', '23', '27']",['08']
21098,2021-08-25 21:15:00,"01,12,15,16,17,20,22|26","['01', '12', '15', '16', '17', '20', '22']",['26']
21097,2021-08-23 21:15:00,"03,04,06,08,09,11,13|22","['03', '04', '06', '08', '09', '11', '13']",['22']
21096,2021-08-20 21:15:00,"08,17,22,23,25,27,29|04","['08', '17', '22', '23', '25', '27', '29']",['04']
21095,2021-08-18 21:15:00,"01,04,05,06,16,24,30|25","['01', '04', '05', '06', '16', '24', '30']",['25']
21094,2021-08-16 21:15:00,"04,05,11,14,20,22,23|03","['04', '05', '11', '14', '20', '22', '23']",['03']
21093,2021-08-13 21:15:00,"03,08,13,23,26,27,30|14","['03', '08', '13', '23', '26', '27', '30']",['14']
21092,2021-08-11 21:15:00,"05,08,10,23,27,28,29|13","['05', '08', '10', '23', '27', '28', '29']",['13']
21091,2021-08-09 21:15:00,"02,04,05,08,13,25,27|15","['02', '04', '05', '08', '13', '25', '27']",['15']
21090,2021-08-06 21:15:00,"05,15,18,19,22,23,28|09","['05', '15', '18', '19', '22', '23', '28']",['09']
21089,2021-08-04 21:15:00,"08,12,17,18,21,24,30|22","['08', '12', '17', '18', '21', '24', '30']",['22']
21088,2021-08-02 21:15:00,"02,12,17,20,25,26,27|16","['02', '12', '17', '20', '25', '26', '27']",['16']
21087,2021-07-30 21:15:00,"01,10,13,16,17,28,30|04","['01', '10', '13', '16', '17', '28', '30']",['04']
21086,2021-07-28 21:15:00,"02,08,11,12,16,17,18|23","['02', '08', '11', '12', '16', '17', '18']",['23']
21085,2021-07-26 21:15:00,"04,05,07,09,18,21,28|19","['04', '05', '07', '09', '18', '21', '28']",['19']
21084,2021-07-23 21:15:00,"02,06,10,13,18,22,25|12","['02', '06', '10', '13', '18', '22', '25']",['12']
21083,2021-07-21 21:15:00,"01,02,04,16,19,20,22|25","['01', '02', '04', '16', '19', '20', '22']",['25']
21082,2021-07-19 21:15:00,"02,09,13,15,16,24,26|05","['02', '09', '13', '15', '16', '24', '26']",['05']
21081,2021-07-16 21:15:00,"03,11,14,16,20,26,28|17","['03', '11', '14', '16', '20', '26', '28']",['17']
21080,2021-07-14 21:15:00,"06,09,16,17,22,25,29|27","['06', '09', '16', '17', '22', '25', '29']",['27']
21079,2021-07-12 21:15:00,"03,07,09,12,13,20,22|21","['03', '07', '09', '12', '13', '20', '22']",['21']
21078,2021-07-09 21:15:00,"01,05,09,17,19,28,29|30","['01', '05', '09', '17', '19', '28', '29']",['30']
21077,2021-07-07 21:15:00,"04,09,13,15,21,24,28|20","['04', '09', '13', '15', '21', '24', '28']",['20']
21076,2021-07-05 21:15:00,"05,07,08,09,12,16,25|14","['05', '07', '08', '09', '12', '16', '25']",['14']
21075,2021-07-02 21:15:00,"01,10,12,13,17,18,19|25","['01', '10', '12', '13', '17', '18', '19']",['25']
21074,2021-06-30 21:15:00,"06,08,09,10,18,20,25|24","['06', '08', '09', '10', '18', '20', '25']",['24']
21073,2021-06-28 21:15:00,"08,10,12,14,18,26,28|11","['08', '10', '12', '14', '18', '26', '28']",['11']
21072,2021-06-25 21:15:00,"02,06,12,14,16,18,20|19","['02', '06', '12', '14', '16', '18', '20']",['19']
21071,2021-06-23 21:15:00,"02,05,09,10,13,21,29|25","['02', '05', '09', '10', '13', '21', '29']",['25']
21070,2021-06-21 21:15:00,"04,06,18,21,23,24,28|11","['04', '06', '18', '21', '23', '24', '28']",['11']
21069,2021-06-18 21:15:00,"06,07,10,19,21,28,30|12","['06', '07', '10', '19', '21', '28', '30']",['12']
21068,2021-06-16 21:15:00,"13,14,19,21,23,27,28|30","['13', '14', '19', '21', '23', '27', '28']",['30']
21067,2021-06-14 21:15:00,"03,04,07,09,11,15,16|13","['03', '04', '07', '09', '11', '15', '16']",['13']
21066,2021-06-11 21:15:00,"05,10,11,17,20,29,30|19","['05', '10', '11', '17', '20', '29', '30']",['19']
21065,2021-06-09 21:15:00,"06,12,13,15,17,18,19|03","['06', '12', '13', '15', '17', '18', '19']",['03']
21064,2021-06-07 21:15:00,"07,12,20,23,24,25,27|14","['07', '12', '20', '23', '24', '25', '27']",['14']
21063,2021-06-04 21:15:00,"01,08,12,14,15,16,24|20","['01', '08', '12', '14', '15', '16', '24']",['20']
21062,2021-06-02 21:15:00,"06,11,14,21,22,26,28|03","['06', '11', '14', '21', '22', '26', '28']",['03']
21061,2021-05-31 21:15:00,"03,09,16,21,22,26,30|08","['03', '09', '16', '21', '22', '26', '30']",['08']
21060,2021-05-28 21:15:00,"01,04,05,11,16,19,26|24","['01', '04', '05', '11', '16', '19', '26']",['24']
21059,2021-05-26 21:15:00,"05,06,08,15,21,23,28|16","['05', '06', '08', '15', '21', '23', '28']",['16']
21058,2021-05-24 21:15:00,"03,04,06,08,19,21,27|28","['03', '04', '06', '08', '19', '21', '27']",['28']
21057,2021-05-21 21:15:00,"03,06,12,18,20,23,28|08","['03', '06', '12', '18', '20', '23', '28']",['08']
21056,2021-05-19 21:15:00,"02,03,08,09,17,25,30|21","['02', '03', '08', '09', '17', '25', '30']",['21']
21055,2021-05-17 21:15:00,"04,06,07,10,11,27,30|20","['04', '06', '07', '10', '11', '27', '30']",['20']
21054,2021-05-14 21:15:00,"07,11,18,19,20,21,24|25","['07', '11', '18', '19', '20', '21', '24']",['25']
21053,2021-05-12 21:15:00,"01,02,05,07,09,19,30|17","['01', '02', '05', '07', '09', '19', '30']",['17']
21052,2021-05-10 21:15:00,"11,19,24,25,26,28,30|03","['11', '19', '24', '25', '26', '28', '30']",['03']
21051,2021-05-07 21:15:00,"01,04,08,11,17,26,28|29","['01', '04', '08', '11', '17', '26', '28']",['29']
21050,2021-05-05 21:15:00,"01,08,21,24,25,28,29|26","['01', '08', '21', '24', '25', '28', '29']",['26']
21049,2021-05-03 21:15:00,"03,05,10,12,15,17,19|20","['03', '05', '10', '12', '15', '17', '19']",['20']
21048,2021-04-30 21:15:00,"05,08,10,13,17,25,30|23","['05', '08', '10', '13', '17', '25', '30']",['23']
21047,2021-04-28 21:15:00,"02,06,12,18,21,25,27|11","['02', '06', '12', '18', '21', '25', '27']",['11']
21046,2021-04-26 21:15:00,"05,06,07,08,11,14,26|15","['05', '06', '07', '08', '11', '14', '26']",['15']
21045,2021-04-23 21:15:00,"01,06,08,14,24,25,29|09","['01', '06', '08', '14', '24', '25', '29']",['09']
21044,2021-04-21 21:15:00,"02,03,07,09,14,17,26|29","['02', '03', '07', '09', '14', '17', '26']",['29']
21043,2021-04-19 21:15:00,"01,02,06,15,16,22,27|24","['01', '02', '06', '15', '16', '22', '27']",['24']
21042,2021-04-16 21:15:00,"05,08,11,12,15,16,27|29","['05', '08', '11', '12', '15', '16', '27']",['29']
21041,2021-04-14 21:15:00,"04,10,16,21,24,27,29|26","['04', '10', '16', '21', '24', '27', '29']",['26']
21040,2021-04-12 21:15:00,"01,08,09,10,22,26,28|29","['01', '08', '09', '10', '22', '26', '28']",['29']
21039,2021-04-09 21:15:00,"07,12,15,21,25,27,28|16","['07', '12', '15', '21', '25', '27', '28']",['16']
21038,2021-04-07 21:15:00,"03,07,15,17,22,25,29|20","['03', '07', '15', '17', '22', '25', '29']",['20']
21037,2021-04-05 21:15:00,"01,05,06,10,16,19,20|30","['01', '05', '06', '10', '16', '19', '20']",['30']
21036,2021-04-02 21:15:00,"05,07,10,13,22,24,25|14","['05', '07', '10', '13', '22', '24', '25']",['14']
21035,2021-03-31 21:15:00,"03,04,06,08,15,20,29|01","['03', '04', '06', '08', '15', '20', '29']",['01']
21034,2021-03-29 21:15:00,"05,07,09,13,22,26,30|16","['05', '07', '09', '13', '22', '26', '30']",['16']
21033,2021-03-26 21:15:00,"04,07,13,17,18,22,29|16","['04', '07', '13', '17', '18', '22', '29']",['16']
21032,2021-03-24 21:15:00,"03,05,20,25,26,27,30|08","['03', '05', '20', '25', '26', '27', '30']",['08']
21031,2021-03-22 21:15:00,"07,09,11,15,23,24,25|20","['07', '09', '11', '15', '23', '24', '25']",['20']
21030,2021-03-19 21:15:00,"02,06,12,13,24,25,28|08","['02', '06', '12', '13', '24', '25', '28']",['08']
21029,2021-03-17 21:15:00,"01,07,12,13,15,24,29|08","['01', '07', '12', '13', '15', '24', '29']",['08']
21028,2021-03-15 21:15:00,"02,03,08,14,19,28,29|24","['02', '03', '08', '14', '19', '28', '29']",['24']
21027,2021-03-12 21:15:00,"01,06,17,20,22,25,26|11","['01', '06', '17', '20', '22', '25', '26']",['11']
21026,2021-03-10 21:15:00,"03,07,09,12,17,19,20|14","['03', '07', '09', '12', '17', '19', '20']",['14']
21025,2021-03-08 21:15:00,"02,06,12,16,17,19,26|03","['02', '06', '12', '16', '17', '19', '26']",['03']
21024,2021-03-05 21:15:00,"07,08,09,12,18,24,26|01","['07', '08', '09', '12', '18', '24', '26']",['01']
21023,2021-03-03 21:15:00,"03,04,05,08,13,17,29|24","['03', '04', '05', '08', '13', '17', '29']",['24']
21022,2021-03-01 21:15:00,"07,08,12,13,19,20,30|11","['07', '08', '12', '13', '19', '20', '30']",['11']
21021,2021-02-26 21:15:00,"05,11,12,16,19,23,26|22","['05', '11', '12', '16', '19', '23', '26']",['22']
21020,2021-02-24 21:15:00,"01,03,07,08,15,25,28|26","['01', '03', '07', '08', '15', '25', '28']",['26']
21019,2021-02-22 21:15:00,"03,11,12,16,17,20,23|08","['03', '11', '12', '16', '17', '20', '23']",['08']
21018,2021-02-19 21:15:00,"09,11,15,22,27,29,30|04","['09', '11', '15', '22', '27', '29', '30']",['04']
21017,2021-02-08 21:15:00,"02,03,06,09,24,25,30|26","['02', '03', '06', '09', '24', '25', '30']",['26']
21016,2021-02-05 21:15:00,"02,05,07,09,16,26,27|20","['02', '05', '07', '09', '16', '26', '27']",['20']
21015,2021-02-03 21:15:00,"02,03,06,07,10,15,23|24","['02', '03', '06', '07', '10', '15', '23']",['24']
21014,2021-02-01 21:15:00,"02,04,17,21,27,28,30|19","['02', '04', '17', '21', '27', '28', '30']",['19']
21013,2021-01-29 21:15:00,"02,05,07,12,23,28,30|19","['02', '05', '07', '12', '23', '28', '30']",['19']
21012,2021-01-27 21:15:00,"05,10,11,13,16,23,26|30","['05', '10', '11', '13', '16', '23', '26']",['30']
21011,2021-01-25 21:15:00,"01,06,09,13,14,15,21|29","['01', '06', '09', '13', '14', '15', '21']",['29']
21010,2021-01-22 21:15:00,"02,08,14,15,19,21,23|27","['02', '08', '14', '15', '19', '21', '23']",['27']
21009,2021-01-20 21:15:00,"01,03,04,14,25,28,30|24","['01', '03', '04', '14', '25', '28', '30']",['24']
21008,2021-01-18 21:15:00,"09,12,13,16,17,20,25|15","['09', '12', '13', '16', '17', '20', '25']",['15']
21007,2021-01-15 21:15:00,"04,05,06,22,23,26,30|03","['04', '05', '06', '22', '23', '26', '30']",['03']
21006,2021-01-13 21:15:00,"05,07,14,15,17,27,29|20","['05', '07', '14', '15', '17', '27', '29']",['20']
21005,2021-01-11 21:15:00,"02,04,18,23,24,28,29|09","['02', '04', '18', '23', '24', '28', '29']",['09']
21004,2021-01-08 21:15:00,"06,08,09,15,18,25,26|16","['06', '08', '09', '15', '18', '25', '26']",['16']
21003,2021-01-06 21:15:00,"04,05,09,11,12,24,27|07","['04', '05', '09', '11', '12', '24', '27']",['07']
21002,2021-01-04 21:15:00,"02,03,10,13,16,23,26|08","['02', '03', '10', '13', '16', '23', '26']",['08']
21001,2021-01-01 21:15:00,"03,09,10,11,17,22,24|13","['03', '09', '10', '11', '17', '22', '24']",['13']
20135,2020-12-30 21:15:00,"02,04,05,07,24,25,29|28","['02', '04', '05', '07', '24', '25', '29']",['28']
20134,2020-12-28 21:15:00,"01,03,04,10,14,19,26|15","['01', '03', '04', '10', '14', '19', '26']",['15']
20133,2020-12-25 21:15:00,"02,08,09,11,16,22,30|20","['02', '08', '09', '11', '16', '22', '30']",['20']
20132,2020-12-23 21:15:00,"03,06,07,13,17,19,28|08","['03', '06', '07', '13', '17', '19', '28']",['08']
20131,2020-12-21 21:15:00,"01,06,08,11,20,25,26|02","['01', '06', '08', '11', '20', '25', '26']",['02']
20130,2020-12-18 21:15:00,"05,09,10,13,18,21,25|11","['05', '09', '10', '13', '18', '21', '25']",['11']
20129,2020-12-16 21:15:00,"09,17,20,23,27,28,29|11","['09', '17', '20', '23', '27', '28', '29']",['11']
20128,2020-12-14 21:15:00,"13,16,17,18,22,26,29|05","['13', '16', '17', '18', '22', '26', '29']",['05']
20127,2020-12-11 21:15:00,"07,11,18,22,24,28,30|17","['07', '11', '18', '22', '24', '28', '30']",['17']
20126,2020-12-09 21:15:00,"01,02,04,07,09,16,17|19","['01', '02', '04', '07', '09', '16', '17']",['19']
20125,2020-12-07 21:15:00,"03,07,12,19,21,23,27|25","['03', '07', '12', '19', '21', '23', '27']",['25']
20124,2020-12-04 21:15:00,"08,11,13,19,20,28,29|21","['08', '11', '13', '19', '20', '28', '29']",['21']
20123,2020-12-02 21:15:00,"02,03,14,16,18,24,28|01","['02', '03', '14', '16', '18', '24', '28']",['01']
20122,2020-11-30 21:15:00,"02,04,10,17,18,21,29|03","['02', '04', '10', '17', '18', '21', '29']",['03']
20121,2020-11-27 21:15:00,"04,05,14,15,19,21,24|03","['04', '05', '14', '15', '19', '21', '24']",['03']
20120,2020-11-25 21:15:00,"09,11,12,15,21,25,30|18","['09', '11', '12', '15', '21', '25', '30']",['18']
20119,2020-11-23 21:15:00,"11,21,22,24,26,29,30|05","['11', '21', '22', '24', '26', '29', '30']",['05']
20118,2020-11-20 21:15:00,"01,07,10,11,25,27,28|26","['01', '07', '10', '11', '25', '27', '28']",['26']
20117,2020-11-18 21:15:00,"09,11,16,20,26,28,29|24","['09', '11', '16', '20', '26', '28', '29']",['24']
20116,2020-11-16 21:15:00,"02,04,05,09,10,14,30|01","['02', '04', '05', '09', '10', '14', '30']",['01']
20115,2020-11-13 21:15:00,"02,04,12,14,15,22,28|09","['02', '04', '12', '14', '15', '22', '28']",['09']
20114,2020-11-11 21:15:00,"06,08,09,10,14,15,26|05","['06', '08', '09', '10', '14', '15', '26']",['05']
20113,2020-11-09 21:15:00,"05,07,11,14,15,24,29|28","['05', '07', '11', '14', '15', '24', '29']",['28']
20112,2020-11-06 21:15:00,"04,12,15,17,19,21,27|26","['04', '12', '15', '17', '19', '21', '27']",['26']
20111,2020-11-04 21:15:00,"01,13,17,20,22,23,30|16","['01', '13', '17', '20', '22', '23', '30']",['16']
20110,2020-11-02 21:15:00,"05,08,09,14,15,19,21|29","['05', '08', '09', '14', '15', '19', '21']",['29']
20109,2020-10-30 21:15:00,"06,13,14,16,18,21,30|02","['06', '13', '14', '16', '18', '21', '30']",['02']
20108,2020-10-28 21:15:00,"06,08,09,10,20,24,29|19","['06', '08', '09', '10', '20', '24', '29']",['19']
20107,2020-10-26 21:15:00,"01,09,13,14,15,22,29|03","['01', '09', '13', '14', '15', '22', '29']",['03']
20106,2020-10-23 21:15:00,"02,04,05,09,13,14,17|24","['02', '04', '05', '09', '13', '14', '17']",['24']
20105,2020-10-21 21:15:00,"12,14,17,23,27,28,30|25","['12', '14', '17', '23', '27', '28', '30']",['25']
20104,2020-10-19 21:15:00,"05,07,10,16,18,24,25|29","['05', '07', '10', '16', '18', '24', '25']",['29']
20103,2020-10-16 21:15:00,"08,12,15,17,19,21,24|05","['08', '12', '15', '17', '19', '21', '24']",['05']
20102,2020-10-14 21:15:00,"09,13,16,17,22,27,30|14","['09', '13', '16', '17', '22', '27', '30']",['14']
20101,2020-10-12 21:15:00,"04,06,10,11,18,21,28|15","['04', '06', '10', '11', '18', '21', '28']",['15']
20100,2020-10-09 21:15:00,"02,05,12,15,20,23,24|28","['02', '05', '12', '15', '20', '23', '24']",['28']
20099,2020-10-07 21:15:00,"01,06,07,08,15,16,21|09","['01', '06', '07', '08', '15', '16', '21']",['09']
20098,2020-10-05 21:15:00,"01,05,10,20,23,24,30|03","['01', '05', '10', '20', '23', '24', '30']",['03']
20097,2020-09-30 21:15:00,"03,08,12,13,15,21,25|14","['03', '08', '12', '13', '15', '21', '25']",['14']
20096,2020-09-28 21:15:00,"02,11,12,14,18,23,29|04","['02', '11', '12', '14', '18', '23', '29']",['04']
20095,2020-09-25 21:15:00,"04,16,18,21,24,28,30|05","['04', '16', '18', '21', '24', '28', '30']",['05']
20094,2020-09-23 21:15:00,"02,13,17,18,20,22,25|10","['02', '13', '17', '18', '20', '22', '25']",['10']
20093,2020-09-21 21:15:00,"02,07,08,09,20,23,27|29","['02', '07', '08', '09', '20', '23', '27']",['29']
20092,2020-09-18 21:15:00,"05,09,10,13,28,29,30|26","['05', '09', '10', '13', '28', '29', '30']",['26']
20091,2020-09-16 21:15:00,"01,12,13,19,20,24,25|27","['01', '12', '13', '19', '20', '24', '25']",['27']
20090,2020-09-14 21:15:00,"05,07,09,10,20,22,24|27","['05', '07', '09', '10', '20', '22', '24']",['27']
20089,2020-09-11 21:15:00,"05,08,09,12,14,21,29|02","['05', '08', '09', '12', '14', '21', '29']",['02']
20088,2020-09-09 21:15:00,"02,03,12,13,20,22,26|15","['02', '03', '12', '13', '20', '22', '26']",['15']
20087,2020-09-07 21:15:00,"02,03,10,18,19,21,22|17","['02', '03', '10', '18', '19', '21', '22']",['17']
20086,2020-09-04 21:15:00,"02,05,07,10,13,22,30|20","['02', '05', '07', '10', '13', '22', '30']",['20']
20085,2020-09-02 21:15:00,"02,05,09,11,19,24,30|07","['02', '05', '09', '11', '19', '24', '30']",['07']
20084,2020-08-31 21:15:00,"01,07,12,13,17,18,24|09","['01', '07', '12', '13', '17', '18', '24']",['09']
20083,2020-08-28 21:15:00,"08,09,10,14,20,24,26|07","['08', '09', '10', '14', '20', '24', '26']",['07']
20082,2020-08-26 21:15:00,"01,02,05,11,17,21,29|10","['01', '02', '05', '11', '17', '21', '29']",['10']
20081,2020-08-24 21:15:00,"02,11,12,14,24,27,28|25","['02', '11', '12', '14', '24', '27', '28']",['25']
20080,2020-08-21 21:15:00,"08,14,18,22,23,26,29|20","['08', '14', '18', '22', '23', '26', '29']",['20']
20079,2020-08-19 21:15:00,"04,11,15,17,21,24,25|02","['04', '11', '15', '17', '21', '24', '25']",['02']
20078,2020-08-17 21:15:00,"02,09,14,16,24,26,30|23","['02', '09', '14', '16', '24', '26', '30']",['23']
20077,2020-08-14 21:15:00,"09,11,15,22,23,24,27|08","['09', '11', '15', '22', '23', '24', '27']",['08']
20076,2020-08-12 21:15:00,"03,11,15,16,17,19,30|21","['03', '11', '15', '16', '17', '19', '30']",['21']
20075,2020-08-10 21:15:00,"06,11,16,17,18,20,29|26","['06', '11', '16', '17', '18', '20', '29']",['26']
20074,2020-08-07 21:15:00,"04,06,08,10,12,20,21|07","['04', '06', '08', '10', '12', '20', '21']",['07']
20073,2020-08-05 21:15:00,"01,07,12,14,21,24,27|26","['01', '07', '12', '14', '21', '24', '27']",['26']
20072,2020-08-03 21:15:00,"09,11,16,17,19,25,30|15","['09', '11', '16', '17', '19', '25', '30']",['15']
20071,2020-07-31 21:15:00,"11,12,17,21,23,27,29|09","['11', '12', '17', '21', '23', '27', '29']",['09']
20070,2020-07-29 21:15:00,"06,08,14,15,18,21,22|13","['06', '08', '14', '15', '18', '21', '22']",['13']
20069,2020-07-27 21:15:00,"06,08,14,20,25,29,30|23","['06', '08', '14', '20', '25', '29', '30']",['23']
20068,2020-07-24 21:15:00,"02,06,10,13,16,17,18|30","['02', '06', '10', '13', '16', '17', '18']",['30']
20067,2020-07-22 21:15:00,"02,05,07,21,22,23,28|24","['02', '05', '07', '21', '22', '23', '28']",['24']
20066,2020-07-20 21:15:00,"02,03,08,13,25,29,30|09","['02', '03', '08', '13', '25', '29', '30']",['09']
20065,2020-07-17 21:15:00,"08,09,10,11,15,25,26|06","['08', '09', '10', '11', '15', '25', '26']",['06']
20064,2020-07-15 21:15:00,"01,02,03,04,18,21,23|29","['01', '02', '03', '04', '18', '21', '23']",['29']
20063,2020-07-13 21:15:00,"07,11,12,15,19,27,28|25","['07', '11', '12', '15', '19', '27', '28']",['25']
20062,2020-07-10 21:15:00,"01,04,08,12,20,21,28|07","['01', '04', '08', '12', '20', '21', '28']",['07']
20061,2020-07-08 21:15:00,"03,04,11,15,19,23,27|18","['03', '04', '11', '15', '19', '23', '27']",['18']
20060,2020-07-06 21:15:00,"12,18,20,22,23,28,30|17","['12', '18', '20', '22', '23', '28', '30']",['17']
20059,2020-07-03 21:15:00,"04,05,07,13,17,18,26|22","['04', '05', '07', '13', '17', '18', '26']",['22']
20058,2020-07-01 21:15:00,"02,04,05,06,08,16,21|12","['02', '04', '05', '06', '08', '16', '21']",['12']
20057,2020-06-29 21:15:00,"08,17,20,24,28,29,30|27","['08', '17', '20', '24', '28', '29', '30']",['27']
20056,2020-06-26 21:15:00,"03,05,10,14,24,27,28|07","['03', '05', '10', '14', '24', '27', '28']",['07']
20055,2020-06-24 21:15:00,"16,18,21,23,27,28,29|22","['16', '18', '21', '23', '27', '28', '29']",['22']
20054,2020-06-22 21:15:00,"02,12,17,22,23,25,26|24","['02', '12', '17', '22', '23', '25', '26']",['24']
20053,2020-06-19 21:15:00,"05,07,16,23,24,26,30|17","['05', '07', '16', '23', '24', '26', '30']",['17']
20052,2020-06-17 21:15:00,"01,04,08,09,10,13,29|19","['01', '04', '08', '09', '10', '13', '29']",['19']
20051,2020-06-15 21:15:00,"05,08,10,25,26,28,29|18","['05', '08', '10', '25', '26', '28', '29']",['18']
20050,2020-06-12 21:15:00,"07,11,12,23,24,26,29|18","['07', '11', '12', '23', '24', '26', '29']",['18']
20049,2020-06-10 21:15:00,"03,08,18,20,22,26,27|28","['03', '08', '18', '20', '22', '26', '27']",['28']
20048,2020-06-08 21:15:00,"05,09,11,15,24,27,30|17","['05', '09', '11', '15', '24', '27', '30']",['17']
20047,2020-06-05 21:15:00,"03,09,14,15,18,24,29|30","['03', '09', '14', '15', '18', '24', '29']",['30']
20046,2020-06-03 21:15:00,"01,02,03,08,13,18,24|25","['01', '02', '03', '08', '13', '18', '24']",['25']
20045,2020-06-01 21:15:00,"01,02,03,11,19,22,29|13","['01', '02', '03', '11', '19', '22', '29']",['13']
20044,2020-05-29 21:15:00,"02,08,12,17,18,25,27|29","['02', '08', '12', '17', '18', '25', '27']",['29']
20043,2020-05-27 21:15:00,"02,09,13,15,23,24,27|10","['02', '09', '13', '15', '23', '24', '27']",['10']
20042,2020-05-25 21:15:00,"03,09,10,16,17,18,28|24","['03', '09', '10', '16', '17', '18', '28']",['24']
20041,2020-05-22 21:15:00,"03,07,19,22,24,27,30|17","['03', '07', '19', '22', '24', '27', '30']",['17']
20040,2020-05-20 21:15:00,"02,05,18,20,24,27,30|29","['02', '05', '18', '20', '24', '27', '30']",['29']
20039,2020-05-18 21:15:00,"01,14,15,17,18,24,29|04","['01', '14', '15', '17', '18', '24', '29']",['04']
20038,2020-05-15 21:15:00,"02,07,22,24,27,29,30|12","['02', '07', '22', '24', '27', '29', '30']",['12']
20037,2020-05-13 21:15:00,"15,17,19,21,23,24,27|09","['15', '17', '19', '21', '23', '24', '27']",['09']
20036,2020-05-11 21:15:00,"07,09,11,15,16,17,20|26","['07', '09', '11', '15', '16', '17', '20']",['26']
20035,2020-05-08 21:15:00,"04,07,18,19,21,22,25|11","['04', '07', '18', '19', '21', '22', '25']",['11']
20034,2020-05-06 21:15:00,"02,07,09,13,14,23,26|15","['02', '07', '09', '13', '14', '23', '26']",['15']
20033,2020-05-04 21:15:00,"09,10,19,21,24,25,29|17","['09', '10', '19', '21', '24', '25', '29']",['17']
20032,2020-05-01 21:15:00,"06,08,10,15,19,22,24|12","['06', '08', '10', '15', '19', '22', '24']",['12']
20031,2020-04-29 21:15:00,"04,08,09,10,11,22,24|23","['04', '08', '09', '10', '11', '22', '24']",['23']
20030,2020-04-27 21:15:00,"04,09,13,15,18,24,25|02","['04', '09', '13', '15', '18', '24', '25']",['02']
20029,2020-04-24 21:15:00,"01,03,14,21,23,28,29|26","['01', '03', '14', '21', '23', '28', '29']",['26']
20028,2020-04-22 21:15:00,"04,06,17,20,24,27,29|13","['04', '06', '17', '20', '24', '27', '29']",['13']
20027,2020-04-20 21:15:00,"05,06,10,12,13,18,25|07","['05', '06', '10', '12', '13', '18', '25']",['07']
20026,2020-04-17 21:15:00,"08,14,18,22,23,25,27|07","['08', '14', '18', '22', '23', '25', '27']",['07']
20025,2020-04-15 21:15:00,"01,06,10,15,23,24,28|20","['01', '06', '10', '15', '23', '24', '28']",['20']
20024,2020-04-13 21:15:00,"06,09,14,15,21,23,28|18","['06', '09', '14', '15', '21', '23', '28']",['18']
20023,2020-04-10 21:15:00,"01,02,03,07,16,21,22|17","['01', '02', '03', '07', '16', '21', '22']",['17']
20022,2020-04-08 21:15:00,"01,05,08,09,20,22,23|19","['01', '05', '08', '09', '20', '22', '23']",['19']
20021,2020-04-06 21:15:00,"03,06,18,20,23,24,28|14","['03', '06', '18', '20', '23', '24', '28']",['14']
20020,2020-04-03 21:15:00,"02,07,11,13,21,25,30|10","['02', '07', '11', '13', '21', '25', '30']",['10']
20019,2020-04-01 21:15:00,"03,07,11,20,21,22,23|27","['03', '07', '11', '20', '21', '22', '23']",['27']
20018,2020-03-30 21:15:00,"06,13,15,23,24,26,28|08","['06', '13', '15', '23', '24', '26', '28']",['08']
20017,2020-03-27 21:03:00,"02,07,08,14,19,29,30|03","['02', '07', '08', '14', '19', '29', '30']",['03']
20016,2020-03-25 21:03:00,"09,12,17,18,19,25,28|07","['09', '12', '17', '18', '19', '25', '28']",['07']
20015,2020-03-23 21:03:00,"03,04,06,12,13,24,29|08","['03', '04', '06', '12', '13', '24', '29']",['08']
20014,2020-03-20 21:03:00,"01,08,21,22,24,26,29|07","['01', '08', '21', '22', '24', '26', '29']",['07']
20013,2020-03-18 21:15:00,"04,07,12,16,17,20,29|09","['04', '07', '12', '16', '17', '20', '29']",['09']
20012,2020-03-16 21:15:00,"02,07,09,13,15,22,30|27","['02', '07', '09', '13', '15', '22', '30']",['27']
20011,2020-03-13 21:03:00,"02,04,07,16,18,21,29|23","['02', '04', '07', '16', '18', '21', '29']",['23']
20010,2020-03-11 21:15:00,"04,06,08,14,25,26,30|23","['04', '06', '08', '14', '25', '26', '30']",['23']
20009,2020-01-20 21:15:00,"04,05,10,16,21,23,29|14","['04', '05', '10', '16', '21', '23', '29']",['14']
20008,2020-01-17 21:15:00,"01,03,05,10,12,16,20|28","['01', '03', '05', '10', '12', '16', '20']",['28']
20007,2020-01-15 21:15:00,"09,11,19,20,23,25,29|17","['09', '11', '19', '20', '23', '25', '29']",['17']
20006,2020-01-13 21:15:00,"02,05,08,15,16,21,29|17","['02', '05', '08', '15', '16', '21', '29']",['17']
20005,2020-01-10 21:15:00,"07,17,19,21,22,23,29|26","['07', '17', '19', '21', '22', '23', '29']",['26']
20004,2020-01-08 21:15:00,"03,08,09,18,20,28,30|16","['03', '08', '09', '18', '20', '28', '30']",['16']
